title,company,experience,package,location,job_url
"
	  
  ""PYTHON""
  ","
    
      
      
        Radical Tecnologies
        
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    7 to 12
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            Rs 0.50 - 0.60 Lacs p.a.
          </li>","<li title=""Cochin/ Kochi/ Ernakulam (Kerala), Thiruvananthapuram (Kerala), Thrissur (Kerala)""><i class=""material-icons"">location_on</i>
	        Cochin/ Kochi/ Ernakulam (Kerala), Thiruvananthapuram (Kerala), Thrissur (Kerala)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-radical-tecnologies-cochin-kochi-ernakulam-thiruvananthapuram-thrissur-7-to-12-yrs-jobid-bUxdpY7jo5dzpSvf__PLUS__uAgZw==&source=srp
"
	  
  PYTHON DEVELOPER
  ","
    
      
        
          
DREAMAJAX TECHNOLOGIES
              			
            	
            
          
          
        
      
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    4 to 7
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            As per Industry Standards
          </li>","<li title=""Bengaluru/ Bangalore (Karnataka)""><i class=""material-icons"">location_on</i>
	        Bengaluru/ Bangalore (Karnataka)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-dreamajax-technologies-bengaluru-bangalore-4-to-7-yrs-jobid-EWIVCDzRLKBzpSvf__PLUS__uAgZw==&source=srp
"
	  
  Python Developer
  ","
    
      
        
          
TandA HR Solutions
              			
            	
            
          
          
        
      
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    4 to 6
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            As per Industry Standards
          </li>","<li title=""Gurgaon (Haryana), Chandigarh (Punjab)""><i class=""material-icons"">location_on</i>
	        Gurgaon (Haryana), Chandigarh (Punjab)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-chandigarh-4-to-6-yrs-jobid-RxlCUMDjB7dzpSvf__PLUS__uAgZw==&source=srp
"
	  
  Python Developer
  ","
    
      
        
          
systango
              			
            	
            
          
          
        
      
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    5 to 8
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            As per Industry Standards
          </li>","<li title=""Indore (Madhya Pradesh)""><i class=""material-icons"">location_on</i>
	        Indore (Madhya Pradesh)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-systango-indore-5-to-8-yrs-jobid-YtDomXdajg5zpSvf__PLUS__uAgZw==&source=srp
"
	  
  Python developer
  ","
    
      
        
          
TandA HR Solutions
              			
            	
            
          
          
        
      
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    3 to 6
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            As per Industry Standards
          </li>","<li title=""Mohali (Punjab), Chandigarh (Punjab)""><i class=""material-icons"">location_on</i>
	        Mohali (Punjab), Chandigarh (Punjab)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-chandigarh-3-to-6-yrs-jobid-EAm60cv2FrxzpSvf__PLUS__uAgZw==&source=srp
"
	  
  Python Trainer
  ","
    
      
        
          
APPLYCUP HIRING SOLUTIONS LLP
              			
            	
            
          
          
        
      
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    4 to 6
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            As per Industry Standards
          </li>","<li title=""Pune (Maharashtra)""><i class=""material-icons"">location_on</i>
	        Pune (Maharashtra)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-trainer-applycup-hiring-solutions-llp-pune-4-to-6-yrs-jobid-3V1Biww1YVJzpSvf__PLUS__uAgZw==&source=srp
"
	  
  Python Interns
  ","
    
      
        
          
3RI Technologies Pvt Ltd
              			
            	
            
          
          
        
      
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    5 to 8
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            As per Industry Standards
          </li>","<li title=""Pune (Maharashtra)""><i class=""material-icons"">location_on</i>
	        Pune (Maharashtra)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-interns-3ri-technologies-pvt-ltd-pune-5-to-8-yrs-jobid-cfLZrmnuzxxzpSvf__PLUS__uAgZw==&source=srp
"
	  
  Python developer
  ","
    
      
        
          
TandA HR Solutions
              			
            	
            
          
          
        
      
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    3 to 6
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            As per Industry Standards
          </li>","<li title=""Mohali (Punjab), Chandigarh (Punjab)""><i class=""material-icons"">location_on</i>
	        Mohali (Punjab), Chandigarh (Punjab)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-chandigarh-3-to-6-yrs-jobid-yhy9asKbR4VzpSvf__PLUS__uAgZw==&source=srp
"
	  
  Python Developer
  ","
    
      
      
        Innova Unified Management Services Pvt Ltd
        
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    1 to 3
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            Rs 1.00 - 2.40 Lacs p.a.
          </li>","<li title=""Kolkata (West Bengal)""><i class=""material-icons"">location_on</i>
	        Kolkata (West Bengal)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-innova-unified-management-services-pvt-ltd-kolkata-1-to-3-yrs-jobid-Tno__SLASH__eg3ugWFzpSvf__PLUS__uAgZw==&source=srp
"
	  
  Python Developer
  ","
    
      
        
          
          
            Big4
            
          
        
      
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    7 to 10
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            As per Industry Standards
          </li>","<li title=""Bengaluru/ Bangalore (Karnataka), Delhi (Delhi)""><i class=""material-icons"">location_on</i>
	        Bengaluru/ Bangalore (Karnataka), Delhi (Delhi)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-big4-bengaluru-bangalore-delhi-7-to-10-yrs-jobid-ud18h6v8DiVzpSvf__PLUS__uAgZw==&source=srp
"
	  
  Python Engineer
  ","
    
      
        
          
east india securities ltd.
              			
            	
            
          
          
        
      
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    2 to 5
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            As per Industry Standards
          </li>","<li title=""Kolkata (West Bengal)""><i class=""material-icons"">location_on</i>
	        Kolkata (West Bengal)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
"
	  
  Python Developer
  ","
    
      
        
          
Ivan Infotech Pvt. Ltd.
              			
            	
            
          
          
        
      
       
  ","<li>
			<i class=""material-icons"">card_travel</i>
			
			  
			    2 to 5
			    
              
			  
            
        yrs</li>","<li><i class=""material-icons rupee"">₹</i>
            As per Industry Standards
          </li>","<li title=""Kolkata (West Bengal)""><i class=""material-icons"">location_on</i>
	        Kolkata (West Bengal)
			
			
	 	 </li>",https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
